Iex;Prms;fspike;;;
5.887e-9;1.499e-9;7,30E+05;;;
6.023e-9;1.515e-9;7,34E+05;;;
6.162e-9;1.531e-9;7,38E+05;;;
6.304e-9;1.547e-9;7,43E+05;;;
6.449e-9;1.564e-9;7,47E+05;;;
6.598e-9;1.581e-9;7,51E+05;;;
6.75e-9;1.598e-9;7,55E+05;;;
6.906e-9;1.616e-9;7,59E+05;;;
7.065e-9;1.635e-9;7,64E+05;;;
7.228e-9;1.653e-9;7,68E+05;;;
7.394e-9;1.673e-9;7,72E+05;;;
7.565e-9;1.692e-9;7,75E+05;;;
7.739e-9;1.712e-9;7,79E+05;;;
7.918e-9;1.733e-9;7,83E+05;;;
8.1e-9;1.754e-9;7,87E+05;;;
8.287e-9;1.776e-9;7,91E+05;;;
8.478e-9;1.798e-9;7,94E+05;;;
8.674e-9;1.821e-9;7,98E+05;;;
8.874e-9;1.844e-9;8,01E+05;;;
9.078e-9;1.868e-9;8,04E+05;;;
9.288e-9;1.893e-9;8,08E+05;;;
9.502e-9;1.918e-9;8,11E+05;;;
9.721e-9;1.943e-9;8,14E+05;;;
9.945e-9;1.97e-9;8,17E+05;;;
10.17e-9;1.996e-9;8,20E+05;;;
10.41e-9;2.024e-9;8,23E+05;;;
10.65e-9;2.052e-9;8,25E+05;;;
10.89e-9;2.081e-9;8,28E+05;;;
11.15e-9;2.11e-9;8,30E+05;;;
11.4e-9;2.14e-9;8,32E+05;;;
11.67e-9;2.171e-9;8,34E+05;;;
11.93e-9;2.203e-9;8,36E+05;;;
12.21e-9;2.235e-9;8,38E+05;;;
12.49e-9;2.268e-9;8,40E+05;;;
12.78e-9;2.302e-9;8,41E+05;;;
13.07e-9;2.336e-9;8,42E+05;;;
13.38e-9;2.372e-9;8,44E+05;;;
13.68e-9;2.408e-9;8,44E+05;;;
1,40E-08;2.445e-9;8,45E+05;;;
14.32e-9;2.483e-9;8,46E+05;;;
14.65e-9;2.522e-9;8,46E+05;;;
14.99e-9;2.562e-9;8,46E+05;;;
15.34e-9;2.602e-9;8,46E+05;;;
15.69e-9;2.644e-9;8,45E+05;;;
16.05e-9;2.686e-9;8,45E+05;;;
16.42e-9;2.73e-9;8,44E+05;;;
16.8e-9;2.774e-9;8,42E+05;;;
17.19e-9;2.82e-9;8,41E+05;;;
17.58e-9;2.866e-9;8,39E+05;;;
17.99e-9;2.914e-9;8,36E+05;;;
18.41e-9;2.963e-9;8,34E+05;;;
18.83e-9;3.013e-9;8,31E+05;;;
19.26e-9;3.064e-9;8,27E+05;;;
19.71e-9;3.116e-9;8,23E+05;;;
